"year" "state" "event.type" "impact.type" "latitude" "longitude" "impact.value"
1950 "AL" "TORNADO" "Injuries" 30.4 -88.12 15
1950 "AL" "TORNADO" "Property damages" 30.4018181818182 -88.0681818181818 27500
1950 "AR" "TORNADO" "Fatalities" 34.845 -92.675 2
1950 "AR" "TORNADO" "Injuries" 34.6669387755102 -91.6214285714286 49
1950 "AR" "TORNADO" "Property damages" 34.8990815436671 -91.8053381858772 860030
1950 "CO" "TORNADO" "Injuries" 40.44 -102.33 1
1950 "CO" "TORNADO" "Property damages" 40.43 -102.315 50000
1950 "CT" "TORNADO" "Injuries" 41.16 -73.3 3
1950 "CT" "TORNADO" "Property damages" 41.1617821782178 -73.290495049505 252500
1950 "FL" "TORNADO" "Property damages" 28.7833333333333 -82.3563636363636 82500
1950 "GA" "TORNADO" "Injuries" 33.51 -84.15 1
1950 "GA" "TORNADO" "Property damages" 33.5369230769231 -84.2076923076923 32500
1950 "IA" "TORNADO" "Injuries" 41.59 -93.36 5
1950 "IA" "TORNADO" "Property damages" 40.57 -95.44 30
1950 "IL" "TORNADO" "Fatalities" 38.6533333333333 -89.4233333333333 3
1950 "IL" "TORNADO" "Injuries" 38.5864516129032 -89.3609677419355 31
1950 "IL" "TORNADO" "Property damages" 38.6296639727775 -89.3067035304126 5877500
1950 "IN" "TORNADO" "Property damages" 40.13 -87.09 25000
1950 "KS" "TORNADO" "Fatalities" 38.2 -97.55 1
1950 "KS" "TORNADO" "Injuries" 38.8823076923077 -96.6257692307692 26
1950 "KS" "TORNADO" "Property damages" 38.4801325478645 -99.0728718703976 5092500
1950 "KY" "TORNADO" "Property damages" 37.67 -85.71 5e+05
1950 "LA" "TORNADO" "Fatalities" 32.1048275862069 -93.3155172413793 29
1950 "LA" "TORNADO" "Injuries" 31.9721527777778 -93.2434027777778 144
1950 "LA" "TORNADO" "Property damages" 31.7373837209302 -92.9239534883721 4300000
1950 "MD" "TORNADO" "Property damages" 39.2 -75.52 2500
1950 "MN" "TORNADO" "Injuries" 46.35 -96.2 4
1950 "MN" "TORNADO" "Property damages" 46.35 -96.2 2500
1950 "MO" "TORNADO" "Injuries" 37.7725 -90.305 8
1950 "MO" "TORNADO" "Property damages" 38.3605089820359 -90.1594438395935 2755500
1950 "MS" "TORNADO" "Fatalities" 33.7133333333333 -89.3733333333333 6
1950 "MS" "TORNADO" "Injuries" 32.6873913043478 -89.73 23
1950 "MS" "TORNADO" "Property damages" 32.044 -89.9723636363636 1375000
1950 "NC" "TORNADO" "Injuries" 34.6625 -79.64125 8
1950 "NC" "TORNADO" "Property damages" 34.2492920353982 -78.2784955752212 282500
1950 "ND" "TORNADO" "Property damages" 46.6681818181818 -98.0872727272727 275000
1950 "NE" "TORNADO" "Injuries" 42.1291111111111 -97.2288148148148 135
1950 "NE" "TORNADO" "Property damages" 41.4622987390883 -96.4019301648885 2577500
1950 "NM" "TORNADO" "Property damages" 34.0808910891089 -107.102079207921 25250
1950 "OH" "TORNADO" "Injuries" 40.4332258064516 -84.0596774193548 31
1950 "OH" "TORNADO" "Property damages" 40.4309900990099 -84.0529702970297 2525000
1950 "OK" "TORNADO" "Fatalities" 34.9633333333333 -96.7283333333333 6
1950 "OK" "TORNADO" "Injuries" 35.1637777777778 -96.5635555555556 45
1950 "OK" "TORNADO" "Property damages" 35.2018534168731 -98.1755325659333 1715750
1950 "PA" "TORNADO" "Injuries" 40.2733333333333 -75.6366666666667 3
1950 "PA" "TORNADO" "Property damages" 40.1566666666667 -76.0378403755869 532500
1950 "SC" "TORNADO" "Property damages" 33.04 -80 25000
1950 "SD" "TORNADO" "Property damages" 43.23 -97.58 2500
1950 "TN" "TORNADO" "Fatalities" 35.45 -89.29 9
1950 "TN" "TORNADO" "Injuries" 35.2366666666667 -89.4411111111111 9
1950 "TN" "TORNADO" "Property damages" 35.4266666666667 -88.985 30000
1950 "TX" "TORNADO" "Fatalities" 32.23 -97.1472727272727 11
1950 "TX" "TORNADO" "Injuries" 31.8841509433962 -95.5535849056604 106
1950 "TX" "TORNADO" "Property damages" 30.6997291196388 -96.259085778781 4430000
1950 "WI" "TORNADO" "Fatalities" 45.0666666666667 -89.6366666666667 3
1950 "WI" "TORNADO" "Injuries" 45.35 -89.35 12
1950 "WI" "TORNADO" "Property damages" 44.7545454545455 -89.4666666666667 825000
1950 "WY" "TORNADO" "Property damages" 42.7466666666667 -106.22 90
1951 "AL" "TORNADO" "Injuries" 34.25 -87.03 13
1951 "AL" "TORNADO" "Property damages" 33.6607142857143 -87.1907142857143 35000
1951 "AR" "TORNADO" "Injuries" 34.7257142857143 -92.7471428571429 7
1951 "AR" "TORNADO" "Property damages" 34.4 -91.715 50000
1951 "CA" "TORNADO" "Property damages" 37.22 -122.07 2500000
1951 "CO" "TORNADO" "Injuries" 39.475 -102.825 2
1951 "CO" "TORNADO" "Property damages" 38.5274178735429 -103.401480042388 28310
1951 "CT" "TORNADO" "Injuries" 41.3605882352941 -72.8029411764706 17
1951 "CT" "TORNADO" "Property damages" 41.367619047619 -72.7452380952381 525000
1951 "FL" "TORNADO" "Fatalities" 29.51 -84.41 3
1951 "FL" "TORNADO" "Property damages" 29.180663683818 -83.8086651752424 335250
1951 "GA" "TORNADO" "Property damages" 31.3390476190476 -82.4809523809524 52500
1951 "IA" "TORNADO" "Injuries" 42.6788235294118 -93.3370588235294 17
1951 "IL" "TORNADO" "Fatalities" 40.68 -89.195 2
